***Anti-Pattern*** 
Count: 13
/me 	 No Version Found
/people/(id:{person ID}) 	 No Version Found
/people/(id:{profile ID})?projection=(id,firstName,lastName) 	 No Version Found
/salesContracts?q=contractsByMember 	 No Version Found
/salesAnalyticsExportJobs/{jobId}?contract={contractUrn} 	 No Version Found
/salesAnalyticsExportJobs?action=exportSeatData 	 No Version Found
/salesAnalyticsExportJobs?action=exportActivityOutcomeData 	 No Version Found
/salesAnalyticsExportJobs?action=exportActivityData 	 No Version Found
/salesAccessTokens?q=viewerAndDeveloperApp 	 No Version Found
/salesNavigatorProfileAssociations/(instanceId:foo,partner:bar,recordId:baz) 	 No Version Found
/salesNavigatorProfileAssociations?ids=List((instanceId:foo,partner:bar,recordId:foo),(instanceId:foo,partner:bar,recordId:bar)) 	 No Version Found
/crmDataValidationExportJobs?crmInstanceId={crmInstanceId} 	 No Version Found
/crmDataValidationExportJobs/{jobId}?crmInstanceId={crmInstanceId} 	 No Version Found

***Patterns*** 
Count: 0
