***Anti-Pattern*** 
Count: 21
DELETE	 /accounts/[account_id]/users/[userid]?apikey=[value] 	Parameter Tunneling	Remove user from account

***Patterns*** 
Count: 0
GET	 /accounts/[account_id]/addons?apikey=[value] 	Parameter Adherence	Get all account add-ons with validity info
POST	 /accounts/[account_id]/addons 	Parameter Adherence	Add addon to account
GET	 /accounts?apikey=[value] 	Parameter Adherence	Get accounts info for reseller
GET	 /accounts/[account_id]?apikey=[value] 	Parameter Adherence	Get account info
POST	 /accounts 	Parameter Adherence	Create new account
GET	 /accounts/[account_id]/status?apikey=[value] 	Parameter Adherence	Get account status
PUT	 /accounts/[account_id]/status 	Parameter Adherence	Change account status (suspend, unsuspend or terminate)
PUT	 /accounts/[account_id]/variation 	Parameter Adherence	Change account variation
GET	 /signupcheck/domain?productid=[value]&subdomain=[value]&apikey=[value] 	Parameter Adherence	Check account domain before signup
GET	 /signupcheck/email?productid=[value]&email=[value]&apikey=[value] 	Parameter Adherence	Check email validity before signup
GET	 /variations?apikey=[value] 	Parameter Adherence	Get all reseller variations
GET	 /accounts/[account_id]/attributes/[attribute_name]?apikey=[value] 	Parameter Adherence	Get account attribute
PUT	 /accounts/[account_id]/attributes/[attribute_name] 	Parameter Adherence	Change account attribute
GET	 /accounts/[account_id]/users?apikey=[value] 	Parameter Adherence	Get users list from account
GET	 /licenses/[license_code]/addons?apikey=[value] 	Parameter Adherence	Get all license add-ons with validity info
POST	 /licenses/[license_code]/addons 	Parameter Adherence	Add addon to license
PUT	 /licenses/[license_code]/addons/[addon_license]/validity 	Parameter Adherence	Change addon validity on owned license
GET	 /licenses?apikey=[value] 	Parameter Adherence	Get all licenses info for reseller
GET	 /licenses/[license_code]/attributes/[attribute_name]?apikey=[value] 	Parameter Adherence	Get license attribute
PUT	 /licenses/[license_code]/attributes/[attribute_name] 	Parameter Adherence	Change license attribute
