***Anti-Pattern*** 
Count: 1
/customers/search.json?query=Bob country:United States	CRUDy End-point	 [search found] 

***Patterns*** 
Count: 70
/admin/oauth/access_scopes.json	Verbless End-point	
/storefront_access_tokens.json	Verbless End-point	
/storefront_access_tokens/{storefront_access_token_id}.json	Verbless End-point	
/storefront_access_tokens.json	Verbless End-point	
/reports.json	Verbless End-point	
/reports/{report_id}.json	Verbless End-point	
/reports.json	Verbless End-point	
/reports/{report_id}.json	Verbless End-point	
/reports/{report_id}.json	Verbless End-point	
/application_charges.json	Verbless End-point	
/application_charges/{application_charge_id}.json	Verbless End-point	
/application_charges.json?since_id=556467234	Verbless End-point	
/application_credits.json	Verbless End-point	
/application_credits/{application_credit_id}.json	Verbless End-point	
/application_credits.json	Verbless End-point	
/recurring_application_charges.json	Verbless End-point	
/recurring_application_charges/{recurring_application_charge_id}.json	Verbless End-point	
/recurring_application_charges.json	Verbless End-point	
/recurring_application_charges/{recurring_application_charge_id}.json	Verbless End-point	
/recurring_application_charges/{recurring_application_charge_id}/customize.json?recurring_application_charge[capped_amount]=200	Verbless End-point	
/customers.json	Verbless End-point	
/customers/{customer_id}.json	Verbless End-point	
/customers.json	Verbless End-point	
/customers/{customer_id}.json	Verbless End-point	
/customers/{customer_id}/account_activation_url.json	Verbless End-point	
/customers/{customer_id}/send_invite.json	Verbless End-point	
/customers/{customer_id}.json	Verbless End-point	
/customers/count.json	Verbless End-point	
/customers/{customer_id}/orders.json	Verbless End-point	
/customers/{customer_id}/addresses.json	Verbless End-point	
/customers/{customer_id}/addresses/{address_id}.json	Verbless End-point	
/customers/{customer_id}/addresses.json	Verbless End-point	
/customers/{customer_id}/addresses/{address_id}.json	Verbless End-point	
/customers/{customer_id}/addresses/{address_id}.json	Verbless End-point	
/customers/{customer_id}/addresses/set.json?address_ids[]=1053317294&operation=destroy	Verbless End-point	
/customers/{customer_id}/addresses/{address_id}/default.json	Verbless End-point	
/price_rules/{price_rule_id}/discount_codes.json	Verbless End-point	
/price_rules/{price_rule_id}/discount_codes/{discount_code_id}.json	Verbless End-point	
/price_rules/{price_rule_id}/discount_codes.json	Verbless End-point	
/price_rules/{price_rule_id}/discount_codes/{discount_code_id}.json	Verbless End-point	
/discount_codes/lookup.json?code=SUMMERSALE10OFF	Verbless End-point	
/discount_codes/count.json	Verbless End-point	
/price_rules/{price_rule_id}/discount_codes/{discount_code_id}.json	Verbless End-point	
/price_rules/{price_rule_id}/batch.json	Verbless End-point	
/price_rules/{price_rule_id}/batch/{batch_id}.json	Verbless End-point	
/price_rules/{price_rule_id}/batch/{batch_id}/discount_codes.json	Verbless End-point	
/price_rules.json	Verbless End-point	
/price_rules/{price_rule_id}.json	Verbless End-point	
/price_rules.json	Verbless End-point	
/price_rules/{price_rule_id}.json	Verbless End-point	
/price_rules/count.json	Verbless End-point	
/price_rules/{price_rule_id}.json	Verbless End-point	
/events.json	Verbless End-point	
/events/{event_id}.json	Verbless End-point	
/events/count.json?created_at_min=2008-01-10T13:00:00+00:00	Verbless End-point	
/webhooks.json	Verbless End-point	
/webhooks/count.json	Verbless End-point	
/webhooks/{webhook_id}.json	Verbless End-point	
/webhooks.json	Verbless End-point	
/webhooks/{webhook_id}.json	Verbless End-point	
/webhooks/{webhook_id}.json	Verbless End-point	
/inventory_items.json?ids=808950810,39072856,457924702	Verbless End-point	
/inventory_items/{inventory_item_id}.json	Verbless End-point	
/inventory_items/{inventory_item_id}.json	Verbless End-point	
/inventory_levels.json	Verbless End-point	
/inventory_levels/adjust.json	Verbless End-point	
/inventory_levels.json?inventory_item_id=808950810&location_id=905684977	Verbless End-point	
/inventory_levels/connect.json	Verbless End-point	
/inventory_levels/set.json	Verbless End-point	
/locations.json	Verbless End-point	
