***Anti-Pattern*** 
Count: 1
/shop/admin/products/:idUpdate Product	Non-standard End-point	 [blank space/tab found] 

***Patterns*** 
Count: 53
/shop/admin/prices?customer_id=:customer_id	Standard End-point	
/shop/admin/customers/:customer_id/prices	Standard End-point	
/shop/admin/customers/:customer_id/prices/:variant_id	Standard End-point	
/shop/admin/price_lists	Standard End-point	
/shop/admin/price_lists/:id	Standard End-point	
/shop/admin/price_lists	Standard End-point	
/shop/admin/price_lists/:id	Standard End-point	
/shop/admin/products	Standard End-point	
/shop/admin/products/:id	Standard End-point	
/shop/admin/products	Standard End-point	
/shop/admin/products	Standard End-point	
/shop/admin/properties	Standard End-point	
/shop/admin/properties/:id	Standard End-point	
/shop/admin/properties/:id	Standard End-point	
/shop/admin/properties/:property_id/property_values	Standard End-point	
/shop/admin/properties/:property_id/property_values/:id	Standard End-point	
/shop/admin/properties/:property_id/property_values	Standard End-point	
/shop/admin/properties/:property_id/property_values/:id	Standard End-point	
/shop/admin/shipping_categories	Standard End-point	
/shop/admin/shipping_categories/:id	Standard End-point	
/shop/admin/shipping_categories	Standard End-point	
/shop/admin/shipping_categories/:id	Standard End-point	
/shop/admin/shipping_methods	Standard End-point	
/shop/admin/shipping_methods/:id	Standard End-point	
/shop/admin/prices/:price_id/staggered_prices	Standard End-point	
/shop/admin/prices/:price_id/staggered_prices/:id	Standard End-point	
/shop/admin/prices/:price_id/staggered_prices	Standard End-point	
/shop/admin/prices/:price_id/staggered_prices/:id	Standard End-point	
/shop/admin/prices/:price_id/staggered_prices/:id	Standard End-point	
/shop/admin/stock_items	Standard End-point	
/shop/admin/stock_items/:id	Standard End-point	
/shop/admin/variants/:variant_id/stock_item	Standard End-point	
/shop/admin/stock_items/:id	Standard End-point	
/shop/admin/variants/:variant_id/stock_item	Standard End-point	
/shop/admin/stock_items/:id/movement	Standard End-point	
/shop/admin/variants/:variant_id/stock_item/movement	Standard End-point	
/shop/admin/tax_categories	Standard End-point	
/shop/admin/tax_categories/:id	Standard End-point	
/shop/admin/tax_rates	Standard End-point	
/shop/admin/tax_rates/:id	Standard End-point	
/shop/admin/tax_rates/:id	Standard End-point	
/shop/admin/tax_zones	Standard End-point	
/shop/admin/tax_zones/:id	Standard End-point	
/shop/admin/tax_zones	Standard End-point	
/shop/admin/tax_zones/:id	Standard End-point	
/shop/admin/variants	Standard End-point	
/shop/admin/products/:product_id/variants	Standard End-point	
/shop/admin/variants/:id	Standard End-point	
/shop/admin/products/:product_id/variants/:id	Standard End-point	
/shop/admin/products/:product_id/variants	Standard End-point	
/shop/admin/variants/:id	Standard End-point	
/shop/admin/products/:product_id/variants/:id	Standard End-point	
/shop/admin/variants/update_stock	Standard End-point	
