***Anti-Pattern*** 
Count: 2
/salesAccessTokens?q=viewerAndDeveloperApp	 Non-descriptive End-point
/salesNavigatorProfileAssociations/(instanceId:foo,partner:bar,recordId:baz)	 Non-descriptive End-point

***Patterns*** 
Count: 11
/me	 Self-descriptive End-point
/crmDataValidationExportJobs/{jobId}?crmInstanceId={crmInstanceId}	 Self-descriptive End-point
/crmDataValidationExportJobs?crmInstanceId={crmInstanceId}	 Self-descriptive End-point
/people/(id:{person ID})	 Self-descriptive End-point
/people/(id:{profile ID})?projection=(id,firstName,lastName)	 Self-descriptive End-point
/salesAnalyticsExportJobs/{jobId}?contract={contractUrn}	 Self-descriptive End-point
/salesAnalyticsExportJobs?action=exportActivityData	 Self-descriptive End-point
/salesAnalyticsExportJobs?action=exportActivityOutcomeData	 Self-descriptive End-point
/salesAnalyticsExportJobs?action=exportSeatData	 Self-descriptive End-point
/salesContracts?q=contractsByMember	 Self-descriptive End-point
/salesNavigatorProfileAssociations?ids=List((instanceId:foo,partner:bar,recordId:foo),(instanceId:foo,partner:bar,recordId:bar))	 Self-descriptive End-point
