***Anti-Pattern*** 
Count: 1
/customers/search.json?query=Bob country:United States	Non-standard End-point	 [black space/tab found] 

***Patterns*** 
Count: 70
/admin/oauth/access_scopes.json	Standard End-point	
/application_charges.json	Standard End-point	
/application_charges.json?since_id=556467234	Standard End-point	
/application_charges/{application_charge_id}.json	Standard End-point	
/application_credits.json	Standard End-point	
/application_credits.json	Standard End-point	
/application_credits/{application_credit_id}.json	Standard End-point	
/customers.json	Standard End-point	
/customers.json	Standard End-point	
/customers/{customer_id}.json	Standard End-point	
/customers/{customer_id}.json	Standard End-point	
/customers/{customer_id}.json	Standard End-point	
/customers/{customer_id}/account_activation_url.json	Standard End-point	
/customers/{customer_id}/addresses.json	Standard End-point	
/customers/{customer_id}/addresses.json	Standard End-point	
/customers/{customer_id}/addresses/{address_id}.json	Standard End-point	
/customers/{customer_id}/addresses/{address_id}.json	Standard End-point	
/customers/{customer_id}/addresses/{address_id}.json	Standard End-point	
/customers/{customer_id}/addresses/{address_id}/default.json	Standard End-point	
/customers/{customer_id}/addresses/set.json?address_ids[]=1053317294&operation=destroy	Standard End-point	
/customers/{customer_id}/orders.json	Standard End-point	
/customers/{customer_id}/send_invite.json	Standard End-point	
/customers/count.json	Standard End-point	
/discount_codes/count.json	Standard End-point	
/discount_codes/lookup.json?code=SUMMERSALE10OFF	Standard End-point	
/events.json	Standard End-point	
/events/{event_id}.json	Standard End-point	
/events/count.json?created_at_min=2008-01-10T13:00:00+00:00	Standard End-point	
/inventory_items.json?ids=808950810,39072856,457924702	Standard End-point	
/inventory_items/{inventory_item_id}.json	Standard End-point	
/inventory_items/{inventory_item_id}.json	Standard End-point	
/inventory_levels.json	Standard End-point	
/inventory_levels.json?inventory_item_id=808950810&location_id=905684977	Standard End-point	
/inventory_levels/adjust.json	Standard End-point	
/inventory_levels/connect.json	Standard End-point	
/inventory_levels/set.json	Standard End-point	
/locations.json	Standard End-point	
/price_rules.json	Standard End-point	
/price_rules.json	Standard End-point	
/price_rules/{price_rule_id}.json	Standard End-point	
/price_rules/{price_rule_id}.json	Standard End-point	
/price_rules/{price_rule_id}.json	Standard End-point	
/price_rules/{price_rule_id}/batch.json	Standard End-point	
/price_rules/{price_rule_id}/batch/{batch_id}.json	Standard End-point	
/price_rules/{price_rule_id}/batch/{batch_id}/discount_codes.json	Standard End-point	
/price_rules/{price_rule_id}/discount_codes.json	Standard End-point	
/price_rules/{price_rule_id}/discount_codes.json	Standard End-point	
/price_rules/{price_rule_id}/discount_codes/{discount_code_id}.json	Standard End-point	
/price_rules/{price_rule_id}/discount_codes/{discount_code_id}.json	Standard End-point	
/price_rules/{price_rule_id}/discount_codes/{discount_code_id}.json	Standard End-point	
/price_rules/count.json	Standard End-point	
/recurring_application_charges.json	Standard End-point	
/recurring_application_charges.json	Standard End-point	
/recurring_application_charges/{recurring_application_charge_id}.json	Standard End-point	
/recurring_application_charges/{recurring_application_charge_id}.json	Standard End-point	
/recurring_application_charges/{recurring_application_charge_id}/customize.json?recurring_application_charge[capped_amount]=200	Standard End-point	
/reports.json	Standard End-point	
/reports.json	Standard End-point	
/reports/{report_id}.json	Standard End-point	
/reports/{report_id}.json	Standard End-point	
/reports/{report_id}.json	Standard End-point	
/storefront_access_tokens.json	Standard End-point	
/storefront_access_tokens.json	Standard End-point	
/storefront_access_tokens/{storefront_access_token_id}.json	Standard End-point	
/webhooks.json	Standard End-point	
/webhooks.json	Standard End-point	
/webhooks/{webhook_id}.json	Standard End-point	
/webhooks/{webhook_id}.json	Standard End-point	
/webhooks/{webhook_id}.json	Standard End-point	
/webhooks/count.json	Standard End-point	
