api_name,AmorphousURI,TidyURI,NonStandardURI,StandarURI,CRUDyURI,VerblessURI,UnversionedURI,VersionedURI,PluralisedNodes,SingularNodes,NonDescriptiveURI,DescriptiveURI,ContextlessResource,ContextualResouce,NonHierarchicalNodes,HierarchicalNodes,LessCohisiveDoc,CohisiveDoc,InconsistantDoc,ConsistantDoc
AniList,0,27,0,27,9,18,0,27,26,1,0,27,0,27,2,25,0,27,17,10
AppleMusic,0,102,0,102,4,98,0,102,4,98,0,102,0,102,0,102,1,101,0,102
Artsy,1,20,0,21,1,20,0,21,0,21,0,21,0,21,0,21,0,21,0,21
Braintree,4,92,0,96,24,72,96,0,83,13,2,94,2,94,7,89,1,95,40,56
Facebook,0,69,0,69,1,68,14,55,7,62,6,63,0,69,6,63,0,69,8,61
GitHub,19,237,0,256,127,129,256,0,216,40,15,241,21,235,21,235,3,253,53,203
GitLab,1,54,0,55,0,55,55,0,0,55,1,54,6,49,3,52,1,54,0,55
Instagram,0,28,5,23,0,28,26,2,2,26,0,28,0,28,0,28,0,28,1,27
Pipefy,0,109,0,109,73,36,109,0,81,28,10,99,2,107,13,96,0,109,35,74
Pokeapi,24,0,3,21,0,24,0,24,0,24,0,24,0,24,1,23,4,20,0,24
Shopify,2,31,0,33,5,28,33,0,24,9,1,32,0,33,0,33,1,32,6,27
Twitter,14,37,0,51,7,44,1,50,3,48,4,47,0,51,0,51,0,51,4,47
